Fruit,spot,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,%DM,lycopene (DW),lycopene (FW),beta-carotene (DW),beta-carotene (FW)
4,C,64,50,0.214530932,0.259494621,0.492357194,0.532002014,0.656675763,0.54767724,White LED,100 mA,b'OK Read',10:17:10,6.08979402,15.9797255,0.973132368,6.087444513,0.370712832
4,D,64,50,0.227263806,0.355293475,0.530934158,0.626967201,0.686005631,0.662019905,White LED,100 mA,b'OK Read',10:19:20,6.08979402,15.9797255,0.973132368,6.087444513,0.370712832
5,A,64,50,0.169397567,0.233547303,0.387295923,0.487468458,0.597326624,0.645137886,White LED,100 mA,b'OK Read',10:59:33,5.655651236,21.50267212,1.216116141,7.340850627,0.415172909
5,B,64,50,0.300668463,0.374861354,0.622997686,0.688362198,0.719414679,0.654985713,White LED,100 mA,b'OK Read',11:01:32,5.655651236,21.50267212,1.216116141,7.340850627,0.415172909
5,C,64,50,0.200906048,0.292809428,0.453934432,0.517638624,0.590733849,0.607033659,White LED,100 mA,b'OK Read',11:03:32,5.655651236,21.50267212,1.216116141,7.340850627,0.415172909
5,D,64,50,0.245118604,0.377675188,0.650642957,0.69335815,0.665451755,0.531064645,White LED,100 mA,b'OK Read',11:05:35,5.655651236,21.50267212,1.216116141,7.340850627,0.415172909
6,A,64,50,0.222990748,0.202036786,0.444189988,0.492769726,0.672906295,0.659146363,White LED,100 mA,b'OK Read',11:51:30,5.57158049,21.89740081,1.220031311,7.32134921,0.407914864
6,B,64,50,0.24018372,0.226888637,0.44816795,0.50731357,0.663412151,0.632985246,White LED,100 mA,b'OK Read',11:53:28,5.57158049,21.89740081,1.220031311,7.32134921,0.407914864
6,C,64,50,0.180849964,0.1656504,0.377227677,0.432790265,0.631870344,0.623795939,White LED,100 mA,b'OK Read',11:55:27,5.57158049,21.89740081,1.220031311,7.32134921,0.407914864
6,D,64,50,0.20691998,0.199931788,0.359033906,0.418537867,0.652682788,0.707098411,White LED,100 mA,b'OK Read',11:57:28,5.57158049,21.89740081,1.220031311,7.32134921,0.407914864
7,A,64,50,0.29156122,0.317897565,0.636211293,0.677343285,0.709977984,0.563780998,White LED,100 mA,b'OK Read',12:42:33,6.417618118,21.72168071,1.394014517,6.187696603,0.397102738
7,B,64,50,0.197726416,0.297577894,0.545920883,0.609384129,0.642671555,0.531423854,White LED,100 mA,b'OK Read',12:44:36,6.417618118,21.72168071,1.394014517,6.187696603,0.397102738
7,C,64,50,0.233349679,0.249528102,0.59038768,0.591065562,0.767862094,0.657829335,White LED,100 mA,b'OK Read',12:48:27,6.417618118,21.72168071,1.394014517,6.187696603,0.397102738
7,D,64,50,0.203994543,0.339434396,0.470077542,0.601645017,0.660213931,0.659515533,White LED,100 mA,b'OK Read',12:51:24,6.417618118,21.72168071,1.394014517,6.187696603,0.397102738
8,A,64,50,0.181195262,0.223258597,0.448399216,0.491617865,0.65334349,0.636996211,White LED,100 mA,b'OK Read',13:40:13,6.339274352,19.23054421,1.219076957,8.007546421,0.507620337
8,B,64,50,0.190705351,0.288169836,0.567660899,0.629007223,0.726036147,0.618048857,White LED,100 mA,b'OK Read',13:42:27,6.339274352,19.23054421,1.219076957,8.007546421,0.507620337
8,C,64,50,0.173958389,0.195270717,0.347732197,0.410780233,0.623913082,0.693239612,White LED,100 mA,b'OK Read',13:44:43,6.339274352,19.23054421,1.219076957,8.007546421,0.507620337
8,D,64,50,0.176145274,0.219349307,0.445192182,0.509409115,0.631094731,0.624604125,White LED,100 mA,b'OK Read',13:47:11,6.339274352,19.23054421,1.219076957,8.007546421,0.507620337
9,A,64,50,0.237622747,0.23421317,0.378199043,0.428668596,0.604551364,0.701979968,White LED,100 mA,b'OK Read',09:56:13,5.388754572,45.97953107,2.477724082,5.446640906,0.293506111
9,B,64,50,0.214430215,0.235587862,0.302987866,0.374240215,0.545791091,0.683032588,White LED,100 mA,b'OK Read',09:59:02,5.388754572,45.97953107,2.477724082,5.446640906,0.293506111
9,C,64,50,0.212804449,0.19806306,0.275435102,0.339212873,0.534544613,0.714491785,White LED,100 mA,b'OK Read',10:02:02,5.388754572,45.97953107,2.477724082,5.446640906,0.293506111
9,D,64,50,0.160405428,0.200060659,0.218232677,0.310263969,0.460688529,0.675130383,White LED,100 mA,b'OK Read',10:04:04,5.388754572,45.97953107,2.477724082,5.446640906,0.293506111
10,A,64,50,0.291661933,0.232365925,0.387912661,0.442615686,0.68086357,0.718592563,White LED,100 mA,b'OK Read',10:49:01,5.606489971,23.10763256,1.295527102,4.413626596,0.247449532
10,B,64,50,0.239680158,0.238122456,0.351956845,0.419120728,0.608099082,0.71164819,White LED,100 mA,b'OK Read',10:51:02,5.606489971,23.10763256,1.295527102,4.413626596,0.247449532
10,C,64,50,0.275087613,0.25807697,0.390348767,0.45385664,0.629155698,0.706888905,White LED,100 mA,b'OK Read',10:53:09,5.606489971,23.10763256,1.295527102,4.413626596,0.247449532
10,D,64,50,0.186345964,0.220165541,0.331141941,0.404313216,0.6005009,0.681955011,White LED,100 mA,b'OK Read',10:55:14,5.606489971,23.10763256,1.295527102,4.413626596,0.247449532
11,A,64,50,0.219696017,0.259881248,0.456416812,0.5233146,0.655182003,0.611433761,White LED,100 mA,b'OK Read',11:34:38,6.009785212,16.18437764,0.972646334,4.788724611,0.287792064
11,B,64,50,0.274022949,0.280974181,0.442432278,0.500693913,0.651404455,0.681116904,White LED,100 mA,b'OK Read',11:36:51,6.009785212,16.18437764,0.972646334,4.788724611,0.287792064
11,C,64,50,0.198186807,0.276957496,0.27312234,0.388367735,0.499814157,0.646155597,White LED,100 mA,b'OK Read',11:39:16,6.009785212,16.18437764,0.972646334,4.788724611,0.287792064
11,D,64,50,0.279749142,0.310723365,0.423498432,0.51720838,0.686221091,0.774776085,White LED,100 mA,b'OK Read',11:41:14,6.009785212,16.18437764,0.972646334,4.788724611,0.287792064
12,A,64,50,0.14831999,0.14245247,0.270778736,0.309653355,0.486872833,0.571802968,White LED,100 mA,b'OK Read',09:49:55,5.432248517,34.79569121,1.89018842,4.324376276,0.234910866
12,B,64,50,0.127659648,0.144621906,0.273492374,0.329068274,0.512496966,0.62589124,White LED,100 mA,b'OK Read',09:51:54,5.432248517,34.79569121,1.89018842,4.324376276,0.234910866
12,C,64,50,0.15762866,0.160860458,0.317635391,0.347817063,0.524791951,0.589582932,White LED,100 mA,b'OK Read',09:53:51,5.432248517,34.79569121,1.89018842,4.324376276,0.234910866
12,D,64,50,0.185856788,0.141679202,0.277177381,0.301798569,0.45735625,0.535434806,White LED,100 mA,b'OK Read',09:55:48,5.432248517,34.79569121,1.89018842,4.324376276,0.234910866
13,A,64,50,0.153211718,0.151538329,0.319501023,0.355963273,0.561475825,0.596587177,White LED,100 mA,b'OK Read',10:40:26,6.005421282,19.77990604,1.187866687,5.374059043,0.322734885
13,B,64,50,0.151830523,0.144815216,0.297575991,0.344861107,0.527090058,0.596377646,White LED,100 mA,b'OK Read',10:42:37,6.005421282,19.77990604,1.187866687,5.374059043,0.322734885
13,C,64,50,0.152334082,0.14629731,0.317681636,0.358114315,0.570309251,0.582548767,White LED,100 mA,b'OK Read',10:44:35,6.005421282,19.77990604,1.187866687,5.374059043,0.322734885
13,D,64,50,0.162534771,0.161762604,0.323849023,0.35891922,0.541309733,0.554352241,White LED,100 mA,b'OK Read',10:46:34,6.005421282,19.77990604,1.187866687,5.374059043,0.322734885
14,A,64,50,0.287662219,0.243492342,0.499819747,0.557287223,0.761700256,0.751727979,White LED,100 mA,b'OK Read',11:27:15,6.407544778,15.55677569,0.996807368,4.278480789,0.274145572
14,B,64,50,0.157412842,0.20261673,0.370952371,0.43573234,0.641924653,0.620533275,White LED,100 mA,b'OK Read',11:29:16,6.407544778,15.55677569,0.996807368,4.278480789,0.274145572
14,C,64,50,0.207164575,0.240356321,0.498725008,0.52499379,0.725835054,0.756696776,White LED,100 mA,b'OK Read',11:31:15,6.407544778,15.55677569,0.996807368,4.278480789,0.274145572
14,D,64,50,0.203481386,0.252599678,0.450203171,0.524258255,0.685230023,0.691054544,White LED,100 mA,b'OK Read',11:33:11,6.407544778,15.55677569,0.996807368,4.278480789,0.274145572
15,A,64,50,0.314048767,0.401001982,0.751633776,0.78693558,0.724470559,0.537170898,White LED,100 mA,b'OK Read',12:10:46,4.892359829,18.97811042,0.928477451,8.411288533,0.411510501
15,B,64,50,0.39014387,0.434982662,0.804472789,0.84851097,0.819526896,0.621521053,White LED,100 mA,b'OK Read',12:12:52,4.892359829,18.97811042,0.928477451,8.411288533,0.411510501
15,C,64,50,0.23365182,0.268236809,0.481009239,0.55716231,0.71312356,0.667467637,White LED,100 mA,b'OK Read',12:15:07,4.892359829,18.97811042,0.928477451,8.411288533,0.411510501
15,D,64,50,0.326978276,0.362975995,0.640502761,0.66725883,0.664178219,0.536432584,White LED,100 mA,b'OK Read',12:18:42,4.892359829,18.97811042,0.928477451,8.411288533,0.411510501
16,A,64,50,0.18249013,0.155655243,0.28347326,0.317818067,0.500015251,0.568679999,White LED,100 mA,b'OK Read',09:44:57,5.865652904,28.56221018,1.675360111,7.230492455,0.424115591
16,B,64,50,0.155312282,0.18882685,0.215827396,0.301201833,0.43833924,0.626280344,White LED,100 mA,b'OK Read',09:46:35,5.865652904,28.56221018,1.675360111,7.230492455,0.424115591
16,C,64,50,0.182821039,0.211144114,0.244397776,0.330802988,0.481414774,0.678812085,White LED,100 mA,b'OK Read',09:48:35,5.865652904,28.56221018,1.675360111,7.230492455,0.424115591
16,D,64,50,0.199438519,0.225642826,0.298053964,0.368356065,0.52638626,0.679350893,White LED,100 mA,b'OK Read',09:50:45,5.865652904,28.56221018,1.675360111,7.230492455,0.424115591
17,A,64,50,0.367368571,0.381863689,0.525907735,0.605470631,0.679599608,0.616522323,White LED,100 mA,b'OK Read',10:36:36,5.031691483,14.01640294,0.705262153,9.541117985,0.480079621
17,B,64,50,0.314969566,0.301830827,0.481132561,0.545782595,0.650169187,0.617540008,White LED,100 mA,b'OK Read',10:38:31,5.031691483,14.01640294,0.705262153,9.541117985,0.480079621
17,C,64,50,0.231738292,0.271652045,0.413954418,0.469427428,0.56931818,0.543516642,White LED,100 mA,b'OK Read',10:40:30,5.031691483,14.01640294,0.705262153,9.541117985,0.480079621
17,D,64,50,0.254067585,0.264048283,0.458436626,0.500707791,0.615036579,0.546120773,White LED,100 mA,b'OK Read',10:42:28,5.031691483,14.01640294,0.705262153,9.541117985,0.480079621
18,A,64,50,0.271951152,0.297534917,0.402159298,0.489092151,0.636883161,0.672376587,White LED,100 mA,b'OK Read',11:36:47,5.122395165,25.66449454,1.314636827,9.126092038,0.467474497
18,B,64,50,0.185151807,0.249270346,0.37050524,0.442379773,0.581282812,0.597754547,White LED,100 mA,b'OK Read',11:38:52,5.122395165,25.66449454,1.314636827,9.126092038,0.467474497
18,C,64,50,0.225968938,0.236661835,0.390549206,0.482292064,0.639238729,0.630740292,White LED,100 mA,b'OK Read',11:40:45,5.122395165,25.66449454,1.314636827,9.126092038,0.467474497
18,D,64,50,0.178979599,0.220272933,0.389639522,0.447625548,0.585103436,0.564678997,White LED,100 mA,b'OK Read',11:42:41,5.122395165,25.66449454,1.314636827,9.126092038,0.467474497
19,A,64,50,0.303804917,0.305697161,0.526447396,0.614296851,0.7060568,0.617001206,White LED,100 mA,b'OK Read',12:22:15,5.335178785,22.59270818,1.205361374,6.95835872,0.371240878
19,B,64,50,0.185914342,0.237456579,0.353791637,0.420744424,0.573670245,0.658308257,White LED,100 mA,b'OK Read',12:24:25,5.335178785,22.59270818,1.205361374,6.95835872,0.371240878
19,C,64,50,0.250067874,0.342105019,0.46017891,0.562532992,0.655684701,0.61038611,White LED,100 mA,b'OK Read',12:26:22,5.335178785,22.59270818,1.205361374,6.95835872,0.371240878
19,D,64,50,0.252312316,0.294162626,0.438253876,0.505342955,0.659577166,0.673394279,White LED,100 mA,b'OK Read',12:28:21,5.335178785,22.59270818,1.205361374,6.95835872,0.371240878
20,A,64,50,0.340377761,0.383839815,0.568524317,0.640178779,0.760982064,0.742598539,White LED,100 mA,b'OK Read',09:46:40,5.055623096,28.30832965,1.431162452,5.595576732,0.28289127
20,B,64,50,0.371425829,0.400894587,0.524473834,0.624108394,0.746460764,0.77262093,White LED,100 mA,b'OK Read',09:48:37,5.055623096,28.30832965,1.431162452,5.595576732,0.28289127
20,C,64,50,0.279993727,0.360964073,0.558471499,0.623775335,0.699880592,0.63397303,White LED,100 mA,b'OK Read',09:50:33,5.055623096,28.30832965,1.431162452,5.595576732,0.28289127
20,D,64,50,0.437895756,0.37990906,0.590033055,0.677398782,0.851470872,0.799979364,White LED,100 mA,b'OK Read',09:52:31,5.055623096,28.30832965,1.431162452,5.595576732,0.28289127
21,A,64,50,0.176835872,0.213786107,0.295525338,0.397055172,0.557884994,0.650166582,White LED,100 mA,b'OK Read',10:41:03,5.407028234,28.31222868,1.530850198,8.384788613,0.453367888
21,B,64,50,0.222616661,0.239217909,0.36430701,0.448583115,0.627963537,0.670850021,White LED,100 mA,b'OK Read',10:42:58,5.407028234,28.31222868,1.530850198,8.384788613,0.453367888
21,C,64,50,0.234730883,0.320432146,0.512246992,0.586291642,0.684928377,0.656272842,White LED,100 mA,b'OK Read',10:45:04,5.407028234,28.31222868,1.530850198,8.384788613,0.453367888
21,D,64,50,0.207178958,0.199008173,0.352326884,0.427336333,0.609808323,0.674262338,White LED,100 mA,b'OK Read',10:46:57,5.407028234,28.31222868,1.530850198,8.384788613,0.453367888
22,A,64,50,0.217394031,0.223731142,0.368207887,0.427447354,0.580363557,0.626459923,White LED,100 mA,b'OK Read',11:34:12,5.070068838,39.29532417,1.992299985,9.205166406,0.466708273
22,B,64,50,0.17109529,0.261728496,0.376086713,0.454550521,0.562323254,0.605566952,White LED,100 mA,b'OK Read',11:36:25,5.070068838,39.29532417,1.992299985,9.205166406,0.466708273
22,C,64,50,0.191482275,0.225148794,0.332036218,0.383912982,0.551909861,0.640618065,White LED,100 mA,b'OK Read',11:38:27,5.070068838,39.29532417,1.992299985,9.205166406,0.466708273
22,D,64,50,0.156909285,0.141228136,0.260001241,0.308071284,0.486427563,0.621790444,White LED,100 mA,b'OK Read',11:40:24,5.070068838,39.29532417,1.992299985,9.205166406,0.466708273
23,A,64,50,0.233953952,0.268000536,0.417438986,0.514696506,0.662219993,0.715539436,White LED,100 mA,b'OK Read',12:30:24,5.096948404,28.38096292,1.446563037,11.12921787,0.567250493
23,B,64,50,0.234716502,0.277752248,0.392029381,0.491423594,0.655325633,0.759809763,White LED,100 mA,b'OK Read',12:32:31,5.096948404,28.38096292,1.446563037,11.12921787,0.567250493
23,C,64,50,0.229465078,0.284647191,0.395035977,0.484928828,0.538250361,0.613618829,White LED,100 mA,b'OK Read',12:34:45,5.096948404,28.38096292,1.446563037,11.12921787,0.567250493
23,D,64,50,0.227393286,0.247057947,0.277686196,0.386258312,0.524231767,0.703027599,White LED,100 mA,b'OK Read',12:37:04,5.096948404,28.38096292,1.446563037,11.12921787,0.567250493
24,A,64,50,0.218429926,0.22901511,0.343337934,0.393252675,0.55203913,0.669952042,White LED,100 mA,b'OK Read',09:59:13,5.319106183,27.38413363,1.456591145,6.562774198,0.349080928
24,B,64,50,0.237939275,0.231571177,0.313086935,0.391837157,0.567881851,0.636666967,White LED,100 mA,b'OK Read',10:02:29,5.319106183,27.38413363,1.456591145,6.562774198,0.349080928
24,C,64,50,0.205783378,0.255499412,0.360976632,0.448749647,0.594769931,0.597485143,White LED,100 mA,b'OK Read',10:04:47,5.319106183,27.38413363,1.456591145,6.562774198,0.349080928
24,D,64,50,0.24877301,0.279255818,0.470509271,0.512795289,0.613499686,0.575933645,White LED,100 mA,b'OK Read',10:06:54,5.319106183,27.38413363,1.456591145,6.562774198,0.349080928
25,A,64,50,0.182763492,0.207385192,0.303912972,0.392156334,0.538824884,0.648640002,White LED,100 mA,b'OK Read',10:53:27,4.952178998,44.72874011,2.215047274,7.989008745,0.395630013
25,B,64,50,0.21848747,0.265444466,0.396053599,0.480529589,0.634771732,0.691054537,White LED,100 mA,b'OK Read',10:55:25,4.952178998,44.72874011,2.215047274,7.989008745,0.395630013
25,C,64,50,0.176159665,0.203991418,0.234391206,0.325557213,0.467597271,0.621072057,White LED,100 mA,b'OK Read',10:57:21,4.952178998,44.72874011,2.215047274,7.989008745,0.395630013
25,D,64,50,0.223364812,0.28855647,0.334379823,0.452843566,0.56272543,0.660942301,White LED,100 mA,b'OK Read',10:59:27,4.952178998,44.72874011,2.215047274,7.989008745,0.395630013
26,A,64,50,0.219106135,0.274873982,0.468103999,0.545241347,0.668582964,0.626968805,White LED,100 mA,b'OK Read',11:59:37,5.362118603,25.04499317,1.342942238,10.08269064,0.54064583
26,B,64,50,0.229839153,0.334866412,0.523656638,0.594312939,0.651749163,0.631698157,White LED,100 mA,b'OK Read',12:01:37,5.362118603,25.04499317,1.342942238,10.08269064,0.54064583
26,C,64,50,0.294409926,0.302926293,0.517674283,0.583488326,0.654593098,0.589642812,White LED,100 mA,b'OK Read',12:03:35,5.362118603,25.04499317,1.342942238,10.08269064,0.54064583
26,D,64,50,0.200028404,0.21786722,0.389192383,0.440978121,0.598590598,0.56997707,White LED,100 mA,b'OK Read',12:05:38,5.362118603,25.04499317,1.342942238,10.08269064,0.54064583
27,A,64,50,0.193884967,0.227110587,0.351417189,0.429801936,0.609674263,0.686534702,White LED,100 mA,b'OK Read',12:49:42,4.964275058,36.70337258,1.82205637,9.187308859,0.456083282
27,B,64,50,0.18739624,0.231248989,0.393047,0.444544702,0.618598667,0.674022873,White LED,100 mA,b'OK Read',12:51:18,4.964275058,36.70337258,1.82205637,9.187308859,0.456083282
27,C,64,50,0.185223743,0.223795578,0.319069298,0.375836152,0.56661787,0.683571389,White LED,100 mA,b'OK Read',12:53:19,4.964275058,36.70337258,1.82205637,9.187308859,0.456083282
27,D,64,50,0.219954989,0.260783391,0.328767496,0.404826679,0.576428013,0.740712776,White LED,100 mA,b'OK Read',12:55:13,4.964275058,36.70337258,1.82205637,9.187308859,0.456083282
28,A,64,50,0.302610761,0.347603787,0.639957982,0.657331638,0.625866499,0.454497001,White LED,100 mA,b'OK Read',09:06:28,5.191441586,10.38948123,0.539363849,7.014677302,0.364162875
28,B,64,50,0.312264728,0.422803744,0.704607517,0.710261222,0.662392353,0.456263026,White LED,100 mA,b'OK Read',09:08:40,5.191441586,10.38948123,0.539363849,7.014677302,0.364162875
28,C,64,50,0.422012022,0.511578787,0.789593983,0.81023623,0.763280198,0.583955588,White LED,100 mA,b'OK Read',09:10:35,5.191441586,10.38948123,0.539363849,7.014677302,0.364162875
28,D,64,50,0.255319288,0.301551605,0.534896686,0.556246394,0.578999029,0.473115092,White LED,100 mA,b'OK Read',09:12:42,5.191441586,10.38948123,0.539363849,7.014677302,0.364162875
29,A,64,50,0.346463646,0.440524386,0.626004276,0.690665892,0.620365333,0.506909016,White LED,100 mA,b'OK Read',10:05:37,6.186575793,6.804704127,0.420978178,5.455619504,0.337516036
29,B,64,50,0.347298118,0.384527161,0.728891578,0.746593068,0.71115576,0.490745417,White LED,100 mA,b'OK Read',10:07:32,6.186575793,6.804704127,0.420978178,5.455619504,0.337516036
29,C,64,50,0.207294062,0.288685348,0.502641302,0.566904464,0.588478834,0.521785526,White LED,100 mA,b'OK Read',10:09:33,6.186575793,6.804704127,0.420978178,5.455619504,0.337516036
29,D,64,50,0.313099206,0.376171607,0.596786334,0.665491706,0.682343005,0.56279322,White LED,100 mA,b'OK Read',10:11:39,6.186575793,6.804704127,0.420978178,5.455619504,0.337516036
30,A,64,50,0.274612829,0.298608897,0.496427678,0.561020299,0.66752008,0.599400846,White LED,100 mA,b'OK Read',10:57:10,5.443692912,19.1266299,1.041194996,8.280364304,0.450757605
30,B,64,50,0.300567753,0.315556278,0.494978328,0.562630135,0.675577865,0.634302274,White LED,100 mA,b'OK Read',10:59:11,5.443692912,19.1266299,1.041194996,8.280364304,0.450757605
30,C,64,50,0.312494925,0.340279254,0.620284048,0.648796838,0.714057166,0.574496891,White LED,100 mA,b'OK Read',11:01:14,5.443692912,19.1266299,1.041194996,8.280364304,0.450757605
30,D,64,50,0.272425943,0.289351207,0.523209517,0.563823627,0.674112809,0.612421532,White LED,100 mA,b'OK Read',11:03:09,5.443692912,19.1266299,1.041194996,8.280364304,0.450757605
31,A,64,50,0.231105242,0.235265667,0.472683263,0.491381949,0.632918874,0.550071871,White LED,100 mA,b'OK Read',11:41:05,5.396559433,19.51805189,1.053303271,7.413532858,0.400075707
31,B,64,50,0.263865422,0.264671194,0.538042049,0.549446313,0.646851263,0.522803257,White LED,100 mA,b'OK Read',11:42:59,5.396559433,19.51805189,1.053303271,7.413532858,0.400075707
31,C,64,50,0.2056395,0.287654317,0.436326579,0.514085912,0.569289452,0.570904989,White LED,100 mA,b'OK Read',11:44:54,5.396559433,19.51805189,1.053303271,7.413532858,0.400075707
31,D,64,50,0.325462793,0.294785547,0.505704436,0.586638571,0.70776604,0.663307002,White LED,100 mA,b'OK Read',11:47:40,5.396559433,19.51805189,1.053303271,7.413532858,0.400075707
32,A,64,50,0.211135502,0.220251449,0.348395185,0.41330597,0.580277377,0.629991959,White LED,100 mA,b'OK Read',12:27:33,5.14052392,38.26040352,1.966785195,9.381094794,0.482237422
32,B,64,50,0.138392663,0.115066028,0.230074031,0.265758148,0.461550328,0.57425744,White LED,100 mA,b'OK Read',12:29:29,5.14052392,38.26040352,1.966785195,9.381094794,0.482237422
32,C,64,50,0.146464016,0.147736441,0.278241257,0.322531868,0.473184595,0.494037989,White LED,100 mA,b'OK Read',12:31:22,5.14052392,38.26040352,1.966785195,9.381094794,0.482237422
32,D,64,50,0.215725081,0.215633352,0.352357721,0.387063225,0.598734216,0.652022392,White LED,100 mA,b'OK Read',12:33:15,5.14052392,38.26040352,1.966785195,9.381094794,0.482237422
33,A,64,50,0.313904892,0.366183612,0.633991039,0.656693251,0.64552986,0.497659844,White LED,100 mA,b'OK Read',09:50:54,5.094940994,15.7447004,0.802183195,5.460384652,0.278203376
33,B,64,50,0.213092186,0.258420641,0.539398871,0.55680149,0.642183203,0.567103536,White LED,100 mA,b'OK Read',09:58:19,5.094940994,15.7447004,0.802183195,5.460384652,0.278203376
33,C,64,50,0.328536908,0.285935957,0.587658616,0.596255825,0.735544673,0.634152615,White LED,100 mA,b'OK Read',10:00:27,5.094940994,15.7447004,0.802183195,5.460384652,0.278203376
33,D,64,50,0.265764552,0.295236616,0.666847743,0.636959154,0.640287262,0.385232894,White LED,100 mA,b'OK Read',10:02:37,5.094940994,15.7447004,0.802183195,5.460384652,0.278203376
34,A,64,50,0.205524406,0.182039306,0.406646069,0.434844183,0.65116027,0.603800928,White LED,100 mA,b'OK Read',10:48:55,5.195658297,28.58102712,1.484972507,8.194149558,0.425740011
34,B,64,50,0.260700186,0.248883712,0.475535677,0.535138389,0.687743603,0.659834798,White LED,100 mA,b'OK Read',10:50:48,5.195658297,28.58102712,1.484972507,8.194149558,0.425740011
34,C,64,50,0.168102704,0.18328513,0.328798336,0.362305386,0.55097624,0.576981296,White LED,100 mA,b'OK Read',10:52:43,5.195658297,28.58102712,1.484972507,8.194149558,0.425740011
34,D,64,50,0.204617996,0.147328334,0.325529625,0.342335352,0.495792439,0.491044728,White LED,100 mA,b'OK Read',10:54:45,5.195658297,28.58102712,1.484972507,8.194149558,0.425740011
35,A,64,50,0.226889732,0.275711689,0.512832907,0.55853621,0.660668769,0.574017969,White LED,100 mA,b'OK Read',11:39:27,4.86436719,46.2372149,2.249147911,9.587451186,0.46636883
35,B,64,50,0.156290623,0.181631199,0.391813526,0.433359257,0.59668026,0.558512877,White LED,100 mA,b'OK Read',11:41:21,4.86436719,46.2372149,2.249147911,9.587451186,0.46636883
35,C,64,50,0.190561481,0.167884279,0.434938923,0.462488571,0.621227148,0.545222787,White LED,100 mA,b'OK Read',11:43:17,4.86436719,46.2372149,2.249147911,9.587451186,0.46636883
35,D,64,50,0.186892686,0.19204878,0.412165871,0.435135604,0.596378641,0.531004792,White LED,100 mA,b'OK Read',11:45:08,4.86436719,46.2372149,2.249147911,9.587451186,0.46636883
36,A,64,50,0.154679232,0.18300588,0.282250064,0.324377605,0.482879827,0.574766289,White LED,100 mA,b'OK Read',12:20:52,5.195858433,52.09906484,2.706993654,8.041165356,0.417807568
36,B,64,50,0.152161437,0.162192194,0.359419369,0.39829029,0.568312736,0.595808937,White LED,100 mA,b'OK Read',12:23:00,5.195858433,52.09906484,2.706993654,8.041165356,0.417807568
36,C,64,50,0.146607879,0.130939425,0.228254661,0.264578551,0.362084462,0.512506433,White LED,100 mA,b'OK Read',12:24:58,5.195858433,52.09906484,2.706993654,8.041165356,0.417807568
